id,pdiv,clim,coast
0,541,541,535
1,535,535,535
2,530,530,535
3,525,525,525
4,520,520,525
5,515,515,515
6,510,510,510
7,505,505,505
8,499,498,500
9,496,495,495
10,492,491,490
11,485,485,485
12,482,481,480
13,475,475,475
14,470,470,470
15,465,465,465
16,460,460,465
17,456,455,455
18,449,449,450
19,445,444,445
20,441,441,440
21,436,436,435
22,430,430,430
23,425,425,425
24,421,421,420
25,415,415,415
26,410,410,410
27,405,405,410
28,400,400,400
29,395,395,400
30,391,390,390
31,385,385,385
32,380,380,385
33,375,375,375
34,370,370,375
35,366,365,365
36,359,358,355
37,354,354,355
38,349,349,355
39,344,344,340
40,339,338,340
41,333,333,340
42,331,330,325
43,327,327,325
44,319,319,320
45,315,314,320
46,311,311,310
47,305,305,305
48,301,301,300
49,297,297,295
50,293,292,295
51,287,286,285
52,280,280,285
53,275,275,275
54,269,268,270
55,265,265,265
56,263,262,265
57,256,256,255
58,252,252,250
59,245,244,245
60,240,239,240
61,234,233,230
62,232,232,230
63,227,227,230
64,222,222,220
65,218,217,220
66,213,213,220
67,205,204,205
68,201,201,200
69,196,196,195
70,191,190,195
71,187,186,185
72,178,178,180
73,172,172,170
74,168,168,170
75,165,164,165
76,160,160,160
77,155,154,155
78,149,148,150
79,145,145,150
80,142,142,140
81,136,136,135
82,131,131,130
83,127,127,125
84,122,121,120
85,116,115,120
86,111,111,105
87,107,107,105
88,103,102,105
89,97,97,95
90,92,91,90
91,87,86,85
92,81,80,80
93,75,75,80
94,69,69,70
95,66,66,65
96,61,60,60
97,56,55,60
98,52,52,50
99,45,44,45
100,40,39,40
101,36,35,35
102,31,31,30
103,26,25,25
104,20,19,20
105,15,14,15
106,11,10,10
107,3,4,5
108,0,0,0
